file,class,type,cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,visibleFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\erika\Desktop\projetos\MINING-Study-master\LAB2\.\project\clone\src\main\java\io\vavr\$.java,io.vavr.$,class,36,20,1,18,190,0.0,0.0,20,20,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,11,62,20,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0
C:\Users\erika\Desktop\projetos\MINING-Study-master\LAB2\.\project\clone\src\main\java\io\vavr\CheckedConsumer.java,io.vavr.CheckedConsumerModule,interface,2,1,1,0,0,NaN,NaN,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,0
C:\Users\erika\Desktop\projetos\MINING-Study-master\LAB2\.\project\clone\src\main\java\io\vavr\CheckedConsumer.java,io.vavr.CheckedConsumer,interface,3,5,1,4,6,0.0,0.0,4,1,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,2,25,3,0,0,1,0,1,0,0,0,1,2,0,0,2,64,1,0
C:\Users\erika\Desktop\projetos\MINING-Study-master\LAB2\.\project\clone\src\main\java\io\vavr\CheckedPredicate.java,io.vavr.CheckedPredicate,interface,3,5,1,2,6,0.0,0.0,4,1,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,1,20,5,0,0,1,0,0,0,0,0,2,2,0,0,2,52,1,0
C:\Users\erika\Desktop\projetos\MINING-Study-master\LAB2\.\project\clone\src\main\java\io\vavr\CheckedPredicate.java,io.vavr.CheckedPredicateModule,interface,2,1,1,0,0,NaN,NaN,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,0
C:\Users\erika\Desktop\projetos\MINING-Study-master\LAB2\.\project\clone\src\main\java\io\vavr\CheckedRunnable.java,io.vavr.CheckedRunnable,interface,2,4,1,2,3,0.0,0.0,3,1,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,1,17,2,0,0,1,0,0,0,0,0,0,2,0,0,1,42,1,0
C:\Users\erika\Desktop\projetos\MINING-Study-master\LAB2\.\project\clone\src\main\java\io\vavr\CheckedRunnable.java,io.vavr.CheckedRunnableModule,interface,2,1,1,0,0,NaN,NaN,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,0
C:\Users\erika\Desktop\projetos\MINING-Study-master\LAB2\.\project\clone\src\main\java\io\vavr\collection\AbstractMultimap.java,io.vavr.collection.AbstractMultimap$SerializableSupplier,interface,1,0,1,0,0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
C:\Users\erika\Desktop\projetos\MINING-Study-master\LAB2\.\project\clone\src\main\java\io\vavr\collection\AbstractMultimap.java,io.vavr.collection.AbstractMultimap,class,23,120,1,132,2252,0.0,0.0,76,0,70,1,4,1,75,3,0,0,4,1,0,2,2,0,4,0,48,382,90,4,6,0,12,69,7,26,3,51,2,0,1,21,159,1024,0
C:\Users\erika\Desktop\projetos\MINING-Study-master\LAB2\.\project\clone\src\main\java\io\vavr\collection\AbstractQueue.java,io.vavr.collection.AbstractQueue,class,10,27,1,27,190,0.0,0.0,20,0,20,0,0,0,20,6,0,0,0,0,0,0,0,0,0,0,17,67,14,0,0,0,0,14,0,0,3,0,1,0,0,0,86,1024,0
C:\Users\erika\Desktop\projetos\MINING-Study-master\LAB2\.\project\clone\src\main\java\io\vavr\collection\Array.java,io.vavr.collection.Array$Anonymous1,anonymous,2,4,1,1,0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,12,2,0,0,0,0,0,1,1,0,1,1,0,0,0,9,-1,0
C:\Users\erika\Desktop\projetos\MINING-Study-master\LAB2\.\project\clone\src\main\java\io\vavr\collection\Array.java,io.vavr.collection.ArrayModule$Combinations,innerclass,3,2,1,8,0,NaN,NaN,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,10,2,0,1,0,1,0,3,0,2,2,1,0,0,2,5,16,0
C:\Users\erika\Desktop\projetos\MINING-Study-master\LAB2\.\project\clone\src\main\java\io\vavr\collection\Array.java,io.vavr.collection.Array,class,30,232,1,173,9395,0.0,0.0,143,38,138,3,0,2,140,0,0,0,3,2,0,3,0,0,3,0,223,812,178,15,10,0,6,66,81,85,37,70,3,1,0,4,323,17,0
C:\Users\erika\Desktop\projetos\MINING-Study-master\LAB2\.\project\clone\src\main\java\io\vavr\collection\Array.java,io.vavr.collection.ArrayModule,interface,0,0,1,0,0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
