Unnamed: 0,HashId,ProjectName,CreatedAt,Age,PrimaryLanguage,Stargazers,TotalOfReleases,CBO,DIT,LOC,LCOM
0,MDEwOlJlcG9zaXRvcnkxMzI0NjQzOTU=,Snailclimb/JavaGuide,07/05/2018,4,Java,127167,0,0,0,0,0
1,MDEwOlJlcG9zaXRvcnkyMjc5MDQ4OA==,iluwatar/java-design-patterns,09/08/2014,8,Java,76663,0,3.0,1.0,32486,0
2,MDEwOlJlcG9zaXRvcnkxNjA2NDAwOTQ=,MisterBooo/LeetCodeAnimation,06/12/2018,3,Java,71400,0,1.0,1.0,265,0
3,MDEwOlJlcG9zaXRvcnkxNTE4MzQwNjI=,doocs/advanced-java,06/10/2018,3,Java,65362,1,0,0,0,0
4,MDEwOlJlcG9zaXRvcnk2Mjk2Nzkw,spring-projects/spring-boot,19/10/2012,9,Java,63116,145,-,-,-,-
5,MDEwOlJlcG9zaXRvcnk1MDc3NzU=,elastic/elasticsearch,08/02/2010,12,Java,61071,96,9.0,1.0,2265.0,0
6,MDEwOlJlcG9zaXRvcnkxMjc5ODgwMTE=,macrozheng/mall,04/04/2018,4,Java,60953,2,3.0,1.0,100633,13.0
7,MDEwOlJlcG9zaXRvcnk4MTk3NTM3Mg==,kdn251/interviews,14/02/2017,5,Java,58153,0,1.0,1.0,11680,0
8,MDEwOlJlcG9zaXRvcnkxMTQ4NzUz,spring-projects/spring-framework,08/12/2010,11,Java,49083,234,4.0,1.0,641248,0
9,MDEwOlJlcG9zaXRvcnkyMDY0NjI3NzY=,GrowingGit/GitHub-Chinese-Top-Charts,05/09/2019,3,Java,47985,0,0,1.0,5,0
10,MDEwOlJlcG9zaXRvcnk2MzQ3NzY2MA==,TheAlgorithms/Java,16/07/2016,6,Java,47640,0,2.0,1.0,25050,1.0
11,MDEwOlJlcG9zaXRvcnk3NTA4NDEx,ReactiveX/RxJava,08/01/2013,9,Java,46421,229,1.0,1.0,369316,0
12,MDEwOlJlcG9zaXRvcnkyMDMwMDE3Nw==,google/guava,29/05/2014,8,Java,45661,35,2.0,1.0,524184,0
13,MDEwOlJlcG9zaXRvcnk4OTIyNzU=,square/retrofit,06/09/2010,12,Java,40504,0,3.0,1.0,26672,0
14,MDEwOlJlcG9zaXRvcnk0NzEwOTIw,apache/dubbo,19/06/2012,10,Java,37839,54,4.0,1.0,178900,0
15,MDEwOlJlcG9zaXRvcnkxOTE0ODk0OQ==,PhilJay/MPAndroidChart,25/04/2014,8,Java,35553,44,5.0,1.0,21111,1.0
16,MDEwOlJlcG9zaXRvcnkxNzMyMjg0MzY=,NationalSecurityAgency/ghidra,01/03/2019,3,Java,34177,22,-,-,-,-
17,MDEwOlJlcG9zaXRvcnk3MDE5ODg3NQ==,airbnb/lottie-android,06/10/2016,5,Java,33176,43,5.0,1.0,15560,1.0
18,MDEwOlJlcG9zaXRvcnkxMTI2NzUwOQ==,bumptech/glide,08/07/2013,9,Java,32961,39,4.0,1.0,60629,0
19,MDEwOlJlcG9zaXRvcnk5NzU0OTgz,eugenp/tutorials,29/04/2013,9,Java,31898,0,3.0,1.0,3528.0,0
20,MDEwOlJlcG9zaXRvcnk4ODU5NDc0,skylot/jadx,18/03/2013,9,Java,31540,25,3.0,1.0,102509,0
21,MDEwOlJlcG9zaXRvcnkyNjc3NzU2Mjk=,geekxh/hello-algorithm,29/05/2020,2,Java,31342,0,1.0,1.0,1851,0
22,MDEwOlJlcG9zaXRvcnk2NDU1ODE0Mw==,Blankj/AndroidUtilCode,30/07/2016,6,Java,31335,116,2.0,1.0,39898,0
23,MDEwOlJlcG9zaXRvcnkxNTkxNTI5MDQ=,jeecgboot/jeecg-boot,26/11/2018,3,Java,30747,21,4.0,1.0,32154,0
24,MDEwOlJlcG9zaXRvcnkxNDY2MzM1ODk=,alibaba/arthas,29/08/2018,4,Java,30443,46,3.0,1.0,40169,1.0
25,MDEwOlJlcG9zaXRvcnkyNTYyNzUx,zxing/zxing,12/10/2011,10,Java,30071,28,4.0,2.0,39522,0.5
26,MDEwOlJlcG9zaXRvcnkxMDY0NTYz,netty/netty,09/11/2010,11,Java,29894,0,3.0,1.0,308004,0
27,MDEwOlJlcG9zaXRvcnk0NDY2MjY2OQ==,dbeaver/dbeaver,21/10/2015,6,Java,28231,159,5.0,1.0,405292,1.0
28,MDEwOlJlcG9zaXRvcnk3MjkwNzI1Mw==,ityouknow/spring-boot-examples,05/11/2016,5,Java,27966,0,4.0,1.0,3798,0
29,MDEwOlJlcG9zaXRvcnk1MzEyNzQwMw==,apolloconfig/apollo,04/03/2016,6,Java,27264,37,4.0,1.0,44875,0
30,MDEwOlJlcG9zaXRvcnkxMTQ1MjMxODQ=,crossoverJie/JCSprout,17/12/2017,4,Java,26805,0,1.0,1.0,4399,0
31,MDEwOlJlcG9zaXRvcnkxMTAyMTExNDc=,xkcoding/spring-boot-demo,10/11/2017,4,Java,26555,0,4.0,1.0,7163,0
32,MDEwOlJlcG9zaXRvcnkyNzAwMTU5,alibaba/druid,03/11/2011,10,Java,26006,45,6.0,2.0,314319,0
33,MDEwOlJlcG9zaXRvcnk4NTc1MTM3,JakeWharton/butterknife,05/03/2013,9,Java,25683,0,2.0,1.0,7712,0
34,MDEwOlJlcG9zaXRvcnkxNDg3MzYyNDM=,qiurunze123/miaosha,14/09/2018,3,Java,25271,0,3.0,1.0,8618,0
35,MDEwOlJlcG9zaXRvcnkxMDgyNTI4OTI=,proxyee-down-org/proxyee-down,25/10/2017,4,Java,25165,49,4.0,1.0,3392,2.0
36,MDEwOlJlcG9zaXRvcnkxMjAzOTUxNzY=,alibaba/easyexcel,06/02/2018,4,Java,25001,1,5.0,1.0,18956,1.0
37,MDEwOlJlcG9zaXRvcnkyNzAwNDc0,alibaba/fastjson,03/11/2011,10,Java,24955,84,-,-,-,-
38,MDEwOlJlcG9zaXRvcnkxMTYyMzc4MjM=,lenve/vhr,04/01/2018,4,Java,24813,0,2.0,1.0,2971,6.0
39,MDEwOlJlcG9zaXRvcnk3NjEzMjU3,SeleniumHQ/selenium,14/01/2013,9,Java,24536,76,4.0,1.0,88890,0
